ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
5,2,1,3,1,.333,3,.300,10,2,1.000,2,36:43,0,2,-17,9,2,2,1
4,0,0,6,1,.200,5,.429,14,0,,0,34:01,1,5,-3,13,2,5,1
2,1,6,8,0,,0,.571,14,3,.600,5,30:16,9,2,-13,19,1,1,15
0,0,4,1,1,.200,5,.167,6,1,.500,2,23:49,1,3,-5,4,0,1,5
0,0,2,3,3,.429,7,.375,8,0,,0,19:14,0,0,-12,9,0,0,2
2,0,3,9,0,.000,2,.600,15,6,1.000,6,31:29,1,3,+4,24,3,2,4
6,2,2,7,0,.000,4,.412,17,6,.857,7,28:46,3,3,+8,20,1,3,5
0,0,0,1,1,.333,3,.250,4,0,,0,18:01,1,1,+7,3,0,1,1
0,0,6,3,0,,0,1.000,3,1,.500,2,17:41,0,3,+11,7,0,0,6
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
