ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
1,1,1,7,3,.429,7,.583,12,0,,0,34:50,0,0,+15,17,5,3,1
9,0,6,6,1,.250,4,.353,17,7,1.000,7,34:26,1,2,+13,20,2,1,7
1,4,8,5,0,,0,.455,11,1,1.000,1,28:21,1,4,+23,11,0,1,9
0,0,1,1,1,.500,2,.500,2,0,,0,15:31,0,4,-1,3,0,0,1
0,0,0,3,0,.000,1,.600,5,0,,0,12:56,0,5,+3,6,0,1,0
1,0,4,5,2,.500,4,.417,12,0,.000,1,30:30,3,0,+16,12,0,0,7
4,2,6,6,2,1.000,2,.545,11,4,.667,6,27:23,1,4,+11,18,3,3,7
0,0,4,3,1,1.000,1,1.000,3,0,,0,20:00,1,2,+9,7,0,1,5
1,0,1,3,2,.500,4,.333,9,0,,0,19:16,1,1,0,8,0,0,2
1,0,1,1,0,,0,.500,2,1,.500,2,16:47,0,1,-4,3,1,0,1
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
