ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
3,2,8,8,1,.200,5,.471,17,5,.625,8,38:07,2,1,-2,22,3,4,10
4,1,0,4,2,.500,4,.333,12,0,,0,36:18,2,3,-1,10,3,2,2
1,0,0,6,0,.000,2,.429,14,6,.750,8,35:34,1,3,-9,18,1,4,1
2,0,6,4,0,,0,.286,14,4,.667,6,27:01,4,5,+2,12,0,2,10
2,0,3,4,0,.000,2,.444,9,1,1.000,1,26:59,2,1,-1,9,0,3,5
2,2,5,2,1,.333,3,.286,7,4,1.000,4,25:07,0,3,+7,9,1,1,5
1,0,1,4,4,.800,5,.800,5,0,,0,20:22,0,0,-1,12,1,0,1
1,0,6,1,0,,0,.500,2,0,.000,2,15:58,3,4,-7,2,0,2,9
0,0,1,0,0,.000,2,.000,3,0,,0,14:34,0,1,+2,0,1,1,1
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
