ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
2,3,7,12,0,,0,.632,19,6,.667,9,37:27,5,2,+10,30,2,3,12
7,0,4,6,0,.000,2,.375,16,6,.750,8,37:20,0,2,-9,18,2,3,4
5,1,9,6,0,.000,3,.429,14,3,.750,4,37:18,2,4,+7,15,1,4,11
3,2,1,2,2,.667,3,.333,6,4,1.000,4,36:36,0,1,+9,10,5,1,1
1,0,0,0,0,,0,,0,0,,0,13:23,0,2,+2,0,0,1,0
2,0,4,6,3,.600,5,.400,15,4,.571,7,37:09,0,2,+7,19,1,1,4
1,0,1,3,2,.400,5,.500,6,2,1.000,2,19:32,0,3,0,10,2,0,1
1,0,0,1,0,,0,.500,2,0,,0,10:42,0,0,-4,2,0,0,0
1,1,2,1,0,,0,.500,2,0,.000,2,10:33,1,3,-7,2,0,0,3
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
