ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
8,3,8,5,1,.333,3,.313,16,6,1.000,6,35:13,0,0,-11,17,0,2,8
5,0,1,4,2,.667,3,.571,7,0,,0,30:57,1,0,-6,10,0,2,2
1,0,3,6,0,.000,1,.375,16,1,.500,2,29:12,3,1,-10,13,0,0,6
1,0,3,2,0,.000,2,.286,7,0,,0,25:41,1,1,-1,4,1,0,4
3,0,3,4,0,,0,.667,6,0,,0,17:05,2,2,+1,8,1,2,5
0,0,1,2,1,.250,4,.250,8,0,,0,22:19,0,1,-14,5,3,1,1
0,0,4,4,0,,0,.444,9,3,1.000,3,17:46,1,2,-9,11,2,1,5
1,0,2,3,0,.000,1,.429,7,0,.000,1,17:03,0,0,-9,6,1,0,2
0,1,1,1,0,.000,1,.333,3,0,,0,15:48,1,1,-1,2,0,0,2
2,0,1,3,0,.000,2,.600,5,1,.500,2,15:47,0,3,-8,7,2,2,1
1,0,2,0,0,,0,.000,3,0,,0,11:34,1,5,-7,0,0,2,3
0,0,1,0,0,,0,,0,0,,0,1:35,0,0,0,0,0,0,1
,,,,,,,,,,,,,,,,,,,
