ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
4,4,6,5,0,.000,2,.333,15,4,.800,5,35:18,1,4,-20,14,0,1,7
2,1,6,5,1,.167,6,.250,20,0,,0,32:40,2,2,-24,11,1,2,8
1,0,4,5,4,.444,9,.500,10,0,,0,32:15,2,2,-13,14,0,0,6
9,0,4,0,0,.000,1,.000,7,0,,0,31:30,0,0,-19,0,1,2,4
0,2,4,5,0,,0,.625,8,2,1.000,2,28:02,1,4,-2,12,1,1,5
1,0,2,1,0,,0,.500,2,0,,0,17:15,0,3,-13,2,0,2,2
1,0,3,0,0,.000,1,.000,7,0,,0,16:31,1,2,-4,0,0,1,4
0,0,6,5,0,,0,.455,11,3,.600,5,15:57,4,2,+6,13,0,2,10
2,0,0,1,1,1.000,1,1.000,1,1,1.000,1,15:40,1,0,-14,4,1,1,1
0,1,1,1,1,.333,3,.333,3,0,,0,12:05,0,1,-8,3,0,1,1
0,0,0,0,0,,0,.000,1,0,,0,1:24,0,0,-2,0,0,0,0
0,0,0,0,0,,0,,0,0,,0,1:24,0,0,-2,0,0,0,0
,,,,,,,,,,,,,,,,,,,
