ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
7,0,10,11,1,.500,2,.611,18,5,.714,7,41:22,3,3,+2,28,0,7,13
2,0,6,1,0,.000,4,.167,6,0,,0,33:28,0,2,-9,2,0,1,6
4,0,1,2,2,.400,5,.250,8,0,,0,30:43,1,2,-14,6,0,1,2
1,2,2,7,0,,0,.700,10,0,,0,25:20,2,2,-1,14,0,3,4
0,0,4,3,1,.333,3,.375,8,1,.500,2,23:35,0,4,-2,8,0,3,4
0,1,3,8,5,.833,6,.667,12,4,1.000,4,26:12,0,2,-5,25,0,0,3
5,0,6,2,0,,0,.400,5,2,1.000,2,22:34,0,3,-2,6,0,2,6
2,0,1,4,3,1.000,3,.571,7,0,,0,20:10,0,3,+5,11,1,1,1
1,0,0,1,1,.500,2,.500,2,0,,0,11:25,0,0,+5,3,0,0,0
0,0,0,1,0,,0,.333,3,0,,0,5:09,1,0,-2,2,0,2,1
0,0,0,0,0,,0,,0,0,,0,0:02,0,0,-2,0,0,0,0
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
