ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
5,1,4,7,1,.250,4,.538,13,13,.929,14,31:30,1,1,-12,28,2,1,5
2,1,1,11,4,.800,5,.550,20,1,1.000,1,29:06,0,1,-17,27,0,1,1
3,0,2,1,0,.000,3,.250,4,0,,0,24:57,0,2,-12,2,2,0,2
1,0,0,1,1,1.000,1,.333,3,0,,0,20:11,1,3,-23,3,0,0,1
1,2,5,2,0,,0,.286,7,0,,0,18:40,3,4,-4,4,0,1,8
7,0,5,4,1,.500,2,.571,7,2,.500,4,27:28,0,2,+2,11,3,1,5
1,1,5,1,0,.000,3,.250,4,1,.500,2,19:25,0,4,-7,3,0,2,5
0,1,6,3,0,.000,1,.429,7,2,.500,4,17:57,1,1,-12,8,0,1,7
1,0,1,3,2,.667,3,.429,7,0,,0,16:25,0,1,+7,8,0,1,1
2,0,0,0,0,,0,,0,0,,0,12:00,0,1,+4,0,0,0,0
1,0,0,2,0,,0,.500,4,1,.500,2,11:23,0,0,+5,5,0,0,0
0,2,3,1,0,,0,1.000,1,1,.500,2,8:26,0,0,+10,3,0,0,3
0,0,1,0,0,,0,,0,0,,0,2:32,0,1,+4,0,0,0,1
