ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
6,3,2,13,0,.000,2,.591,22,7,1.000,7,39:47,5,4,-9,33,2,4,7
9,0,7,4,0,.000,3,.444,9,0,,0,32:30,3,3,-1,8,1,2,10
0,1,0,5,2,.667,3,.500,10,0,,0,25:43,0,2,-2,12,2,2,0
2,0,0,2,2,.400,5,.400,5,0,,0,22:17,0,1,+9,6,1,0,0
3,0,4,2,0,,0,.500,4,0,,0,21:39,1,3,+7,4,1,1,5
3,0,2,1,0,,0,.500,2,1,.333,3,23:37,1,2,-11,3,0,2,3
0,0,4,1,1,.333,3,.333,3,0,,0,22:13,0,2,-21,3,2,2,4
1,0,0,6,0,,0,.500,12,1,.500,2,20:23,1,4,-13,13,0,2,1
1,0,2,3,0,.000,1,.429,7,5,.833,6,17:54,1,2,-9,11,2,1,3
0,0,1,2,1,.500,2,.500,4,0,,0,7:27,0,0,-8,5,0,0,1
0,0,1,0,0,,0,,0,0,,0,5:58,0,2,-7,0,0,0,1
0,0,0,0,0,,0,.000,1,0,,0,0:32,1,0,0,0,0,0,1
,,,,,,,,,,,,,,,,,,,
