ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
7,1,8,11,2,.400,5,.579,19,4,1.000,4,39:05,0,3,+3,28,3,3,8
3,4,4,11,2,.667,3,.647,17,7,.875,8,36:28,3,3,+12,31,1,5,7
7,0,3,5,2,.667,3,.833,6,4,.800,5,31:07,0,3,+4,16,0,3,3
1,0,2,3,3,1.000,3,1.000,3,0,,0,23:38,0,4,+13,9,1,1,2
1,1,1,4,0,,0,.800,5,2,1.000,2,19:53,1,2,-3,10,1,0,2
9,0,2,2,0,.000,2,.250,8,2,.500,4,30:04,0,1,+3,6,4,4,2
1,0,8,7,0,.000,1,.538,13,3,.750,4,27:15,2,3,+13,17,3,2,10
0,0,2,1,0,.000,3,.250,4,0,,0,17:40,0,1,+12,2,1,1,2
2,0,0,3,2,.667,3,.600,5,0,,0,14:51,1,0,+8,8,3,0,1
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
