ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
4,2,6,11,1,1.000,1,.688,16,3,.500,6,34:36,2,6,-5,26,0,4,8
0,0,2,11,0,.000,2,.611,18,8,.889,9,32:46,0,5,+8,30,1,2,2
1,0,5,3,1,.250,4,.375,8,3,1.000,3,32:18,0,2,-4,10,1,2,5
2,0,5,2,0,.000,4,.286,7,2,1.000,2,31:35,0,3,-9,6,2,2,5
2,0,0,0,0,.000,2,.000,3,0,,0,9:40,1,0,0,0,1,0,1
5,0,1,1,0,.000,3,.143,7,3,1.000,3,25:01,1,1,+9,5,1,2,2
1,0,5,2,1,.200,5,.286,7,0,.000,1,22:29,0,2,+5,5,0,0,5
1,4,4,3,0,,0,.500,6,2,.500,4,19:28,5,4,+6,8,0,0,9
3,3,5,6,0,,0,1.000,6,0,,0,16:15,1,1,+2,12,1,1,6
3,0,0,1,1,.333,3,.250,4,2,1.000,2,15:51,0,1,+8,5,0,1,0
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
