ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
3,2,7,8,0,.000,1,.381,21,6,.857,7,35:59,1,4,+5,22,0,1,8
2,0,5,2,1,.333,3,.400,5,0,,0,35:51,0,1,+4,5,0,2,5
3,1,3,11,3,1.000,3,.500,22,1,1.000,1,32:35,0,2,-8,26,2,4,3
4,0,6,4,0,.000,2,.667,6,0,,0,25:53,1,3,0,8,1,1,7
0,0,0,0,0,,0,,0,0,,0,2:47,0,1,-8,0,0,0,0
1,0,2,2,0,.000,1,.286,7,2,1.000,2,24:32,0,0,-4,6,1,0,2
2,1,3,4,0,,0,.333,12,1,.500,2,22:20,6,3,+3,9,1,1,9
0,1,3,1,1,1.000,1,.333,3,0,,0,22:04,0,1,-1,3,2,1,3
0,3,3,3,0,,0,.500,6,0,,0,20:22,5,4,+15,6,1,3,8
1,0,4,3,2,.400,5,.375,8,0,,0,17:37,0,3,+9,8,0,0,4
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
