ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
5,1,11,12,1,.500,2,.545,22,7,.700,10,40:03,3,2,+20,32,2,0,14
4,1,2,5,3,.500,6,.455,11,0,,0,31:11,0,0,+14,13,2,2,2
4,0,1,5,2,.500,4,.625,8,0,,0,29:15,0,2,+11,12,1,2,1
2,0,1,1,1,.333,3,.333,3,0,,0,23:48,0,0,+9,3,0,1,1
0,0,3,2,0,.000,1,.667,3,0,,0,11:30,0,1,-10,4,0,0,3
3,0,3,3,3,.600,5,.600,5,0,,0,21:54,1,0,+10,9,2,1,4
1,0,2,5,0,,0,.833,6,5,.833,6,20:23,2,3,+13,15,0,3,4
2,0,4,5,3,.375,8,.500,10,0,,0,20:10,0,2,+4,13,0,1,4
4,0,2,1,1,.500,2,.167,6,0,,0,18:45,0,1,+7,3,1,0,2
2,2,2,3,2,.667,3,.750,4,2,.667,3,18:25,1,0,+14,10,0,0,3
1,0,0,1,0,.000,1,.500,2,0,,0,2:18,0,0,-1,2,0,0,0
0,0,0,0,0,,0,.000,1,0,,0,2:18,0,0,-1,0,1,0,0
,,,,,,,,,,,,,,,,,,,
