ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
5,1,5,8,3,1.000,3,.571,14,0,.000,1,34:24,1,4,+9,19,2,4,6
0,0,1,1,1,.200,5,.167,6,0,,0,33:48,0,1,-7,3,0,0,1
3,3,5,8,2,.500,4,.471,17,4,.571,7,33:20,4,1,-7,22,3,2,9
9,1,4,7,0,.000,1,.583,12,2,1.000,2,28:43,0,4,-10,16,1,0,4
0,2,1,2,0,,0,1.000,2,0,,0,12:37,1,1,+5,4,0,1,2
3,0,7,6,0,,0,.667,9,4,1.000,4,26:42,1,1,+3,16,1,4,8
0,1,2,2,0,,0,1.000,2,0,,0,23:49,0,2,+4,4,1,1,2
1,0,2,3,2,.286,7,.375,8,0,,0,21:40,0,1,+9,8,0,0,2
5,0,1,2,0,.000,1,.400,5,3,1.000,3,19:17,0,5,+13,7,0,2,1
1,0,0,2,0,.000,1,.667,3,0,,0,5:40,0,1,-4,4,1,0,0
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
