ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
0,1,4,4,1,.333,3,.667,6,0,,0,41:48,0,3,-10,9,2,1,4
3,1,10,12,0,.000,1,.545,22,12,.857,14,40:15,3,3,-19,36,1,2,13
3,0,1,3,0,.000,2,.333,9,2,1.000,2,31:23,1,4,-11,8,3,4,2
3,1,3,0,0,.000,1,.000,4,0,,0,21:40,2,2,-6,0,0,2,5
0,0,2,1,0,,0,1.000,1,0,,0,6:51,2,0,0,2,0,0,4
6,0,3,7,3,.750,4,.538,13,0,,0,31:11,1,3,-7,17,0,4,4
1,0,0,2,0,.000,2,.333,6,0,,0,23:48,0,0,-7,4,0,0,0
1,0,4,1,1,.333,3,.200,5,2,1.000,2,16:15,0,2,-1,5,0,0,4
0,0,2,0,0,.000,1,.000,5,0,,0,12:54,0,2,+3,0,2,0,2
0,0,2,0,0,.000,3,.000,3,0,,0,9:58,0,0,+4,0,0,0,2
0,0,1,0,0,,0,.000,3,0,,0,3:57,1,0,+4,0,0,0,2
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
