ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
2,4,10,14,0,.000,1,.438,32,9,.818,11,43:20,5,3,-10,37,2,3,15
6,0,4,4,0,.000,5,.333,12,2,1.000,2,35:56,1,4,-14,10,2,3,5
2,1,3,1,1,.167,6,.143,7,2,1.000,2,33:13,0,0,-15,5,0,0,3
3,0,2,5,0,.000,2,.455,11,0,,0,23:02,0,4,-17,10,0,1,2
0,0,3,0,0,,0,.000,1,0,.000,2,16:20,0,4,-7,0,1,0,3
0,1,6,4,0,,0,.667,6,1,.500,2,25:03,1,2,+2,9,0,2,7
0,0,4,1,1,.250,4,.200,5,0,,0,19:12,1,3,-3,3,0,1,5
1,0,3,0,0,,0,.000,5,0,,0,15:58,1,1,+4,0,2,0,4
1,0,3,6,4,.571,7,.500,12,0,,0,15:03,1,0,+9,16,0,1,4
0,0,1,1,0,.000,3,.143,7,0,,0,12:53,2,1,+6,2,1,0,3
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
