ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
1,1,4,5,1,.143,7,.333,15,0,,0,35:28,1,1,-8,11,0,2,5
1,0,5,4,3,.750,4,.400,10,0,,0,25:43,0,4,-8,11,0,2,5
0,1,3,3,2,.667,3,.375,8,0,,0,25:16,0,0,-10,8,1,1,3
3,0,4,9,0,.000,1,.529,17,1,.333,3,22:38,1,0,-14,19,0,1,5
1,2,6,2,0,,0,.286,7,4,.800,5,22:17,2,4,-6,8,1,3,8
1,1,5,7,0,.000,2,.500,14,2,.333,6,28:57,3,2,-17,16,0,1,8
5,0,2,3,2,.667,3,.375,8,1,1.000,1,24:32,2,1,-15,9,0,0,4
1,1,5,4,0,,0,.800,5,2,1.000,2,22:02,2,1,-7,10,0,1,7
3,0,0,3,1,.200,5,.300,10,0,.000,1,21:11,1,2,-19,7,0,0,1
1,0,0,0,0,.000,2,.000,4,1,.500,2,11:56,1,1,-6,1,2,0,1
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
