ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
0,0,1,1,1,.200,5,.143,7,0,,0,31:03,1,2,-4,3,1,0,2
1,0,3,2,0,.000,2,.333,6,0,,0,30:16,1,2,-5,4,0,1,4
6,0,1,4,2,.667,3,.444,9,1,.500,2,26:05,1,3,+2,11,1,5,2
3,0,3,6,0,,0,.545,11,4,.800,5,23:24,0,1,-6,16,0,0,3
0,1,4,4,2,.667,3,.800,5,0,,0,14:59,0,1,-14,10,0,2,4
0,2,3,5,1,.333,3,.556,9,4,1.000,4,27:48,1,0,+2,15,1,2,4
3,2,4,6,1,1.000,1,.462,13,2,.400,5,25:47,4,3,-3,15,0,1,8
0,0,4,3,3,.500,6,.375,8,0,,0,24:11,0,2,+13,9,1,1,4
4,0,5,5,0,.000,1,.385,13,2,1.000,2,23:16,0,0,-8,12,2,2,5
1,1,1,0,0,.000,1,.000,2,0,,0,7:49,0,1,+5,0,1,0,1
0,0,1,0,0,,0,,0,0,,0,5:22,0,2,+3,0,0,0,1
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
