ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
2,2,7,9,0,.000,1,.450,20,0,,0,39:11,0,2,+1,18,1,3,7
1,0,5,8,4,.667,6,.727,11,3,.750,4,36:59,0,2,+9,23,2,0,5
0,2,8,3,0,,0,.500,6,6,.750,8,34:32,2,4,+2,12,3,3,10
7,0,5,8,2,.667,3,.615,13,1,.250,4,33:01,2,5,+11,19,0,2,7
1,0,2,2,1,.500,2,.500,4,0,,0,18:02,0,1,+11,5,1,0,2
4,1,5,2,0,.000,1,.286,7,0,,0,26:54,0,2,-7,4,2,3,5
2,0,1,2,0,,0,.667,3,2,.500,4,22:05,0,4,+4,6,1,0,1
1,0,1,2,0,.000,3,.250,8,0,,0,17:55,0,2,-7,4,0,1,1
0,0,0,1,1,.500,2,.333,3,1,.500,2,11:21,0,1,-4,4,0,0,0
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
