ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
3,3,16,12,1,.500,2,.522,23,11,.786,14,41:13,1,1,0,36,3,1,17
0,0,4,2,2,.500,4,.333,6,2,1.000,2,39:01,0,4,+3,8,0,0,4
5,1,1,8,3,.429,7,.471,17,0,.000,2,38:03,1,1,+4,19,2,1,2
0,1,5,4,2,.667,3,.667,6,1,.333,3,37:21,3,2,-6,11,0,0,8
6,0,2,2,0,.000,1,.500,4,0,,0,22:45,0,0,-5,4,2,2,2
2,1,1,5,2,.333,6,.313,16,2,1.000,2,29:56,0,4,-8,14,0,1,1
1,0,1,2,0,.000,2,.400,5,0,,0,23:38,0,3,-18,4,0,2,1
0,1,2,2,0,,0,.667,3,0,.000,1,8:03,0,2,-10,4,0,2,2
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
