ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
4,1,11,12,5,.625,8,.571,21,8,.727,11,34:32,2,5,+14,37,3,5,13
2,6,8,9,0,.000,2,.474,19,1,1.000,1,33:38,4,2,+25,19,1,1,12
8,1,4,2,0,.000,4,.222,9,0,,0,31:37,0,1,+25,4,3,4,4
5,0,0,4,0,.000,2,.500,8,0,,0,30:38,1,1,+11,8,4,0,1
3,1,1,3,1,.250,4,.429,7,0,,0,29:30,0,1,+18,7,2,1,1
4,1,1,4,2,.286,7,.333,12,2,1.000,2,25:13,1,1,+4,12,0,0,2
1,1,4,4,1,.500,2,.800,5,4,.800,5,23:46,0,0,+28,13,1,0,4
1,1,6,6,0,.000,2,.600,10,0,,0,21:19,2,1,+21,12,2,0,8
0,0,0,2,1,1.000,1,1.000,2,0,,0,3:16,0,1,-2,5,0,0,0
0,0,0,0,0,,0,.000,1,0,,0,3:16,0,0,-2,0,0,0,0
0,0,0,0,0,.000,1,.000,1,0,,0,3:15,0,0,-2,0,0,1,0
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
