ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
10,0,5,5,0,.000,4,.333,15,0,,0,32:24,1,2,-28,10,0,1,6
1,0,5,8,0,,0,.571,14,1,1.000,1,28:47,1,5,-11,17,0,0,6
0,0,4,3,0,.000,2,.500,6,0,,0,26:59,1,0,-23,6,0,0,5
3,0,2,0,0,.000,3,.000,6,2,1.000,2,26:00,1,1,-6,2,2,1,3
3,0,2,2,1,.500,2,.667,3,3,.500,6,22:56,0,4,-4,8,0,2,2
2,0,1,8,1,.200,5,.500,16,4,.800,5,29:39,0,1,-12,21,1,2,1
3,0,1,10,2,.667,3,.769,13,0,.000,1,27:56,0,1,-3,22,0,0,1
0,0,7,3,0,,0,.500,6,1,.500,2,26:06,2,0,-12,7,0,2,9
2,1,1,3,1,.500,2,.429,7,1,.500,2,19:13,0,1,-11,8,0,0,1
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
