ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
0,1,3,4,1,.250,4,.500,8,4,.667,6,30:09,0,0,-9,13,1,1,3
8,0,1,1,1,.200,5,.125,8,3,.750,4,27:03,1,2,-3,6,1,1,2
0,0,6,5,0,,0,.417,12,1,1.000,1,25:10,1,3,+2,11,1,3,7
0,1,4,4,2,.667,3,.800,5,0,,0,18:46,1,0,-2,10,1,0,5
5,0,2,4,0,.000,2,.364,11,0,,0,15:57,1,0,-3,8,0,1,3
0,1,12,4,0,,0,.444,9,4,.800,5,29:09,4,4,+5,12,1,1,16
4,0,1,6,3,.750,4,.500,12,0,,0,22:38,0,0,+20,15,1,2,1
0,0,1,4,0,,0,1.000,4,0,,0,20:53,0,4,+12,8,1,0,1
1,0,0,4,1,1.000,1,.571,7,2,1.000,2,19:40,1,2,+4,11,2,2,1
0,0,1,3,0,.000,4,.273,11,0,.000,1,16:51,1,2,-5,6,3,0,2
2,0,0,1,0,.000,1,.333,3,1,.500,2,13:44,1,0,-6,3,1,0,1
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
