ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
2,1,5,7,1,.250,4,.636,11,6,.750,8,36:22,0,5,+14,21,0,0,5
5,0,6,5,1,.200,5,.333,15,9,.750,12,35:31,0,2,+13,20,0,3,6
1,0,3,6,2,.500,4,.545,11,2,1.000,2,33:37,0,1,+4,16,1,0,3
3,1,3,6,0,.000,1,.462,13,1,.500,2,32:16,1,2,+7,13,2,0,4
7,1,9,2,0,,0,1.000,2,2,.333,6,21:50,1,6,+17,6,0,4,10
1,1,0,4,0,.000,2,.571,7,0,,0,19:24,0,3,+1,8,0,0,0
2,0,4,3,0,,0,.600,5,5,.714,7,18:48,2,4,-1,11,0,1,6
0,0,2,3,0,.000,1,.600,5,0,,0,18:38,1,1,-10,6,0,0,3
3,0,2,2,2,.500,4,.500,4,0,,0,15:44,0,1,0,6,1,2,2
0,0,1,2,0,,0,.667,3,0,.000,2,7:51,1,0,-10,4,0,2,2
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
