ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
6,0,4,3,1,.333,3,.300,10,4,1.000,4,27:06,0,4,-10,11,0,7,4
1,2,4,5,0,.000,2,.333,15,4,1.000,4,23:16,2,4,-24,14,1,1,6
2,3,7,4,0,,0,.800,5,1,1.000,1,22:27,3,0,-9,9,1,3,10
1,1,0,0,0,.000,1,.000,4,1,1.000,1,21:48,1,3,-18,1,0,1,1
1,0,2,5,1,1.000,1,.625,8,1,1.000,1,12:11,0,2,-6,12,0,1,2
2,0,4,1,1,.250,4,.143,7,3,.750,4,27:04,2,3,-21,6,0,3,6
0,2,1,4,2,.400,5,.364,11,0,,0,26:23,4,2,-7,10,1,1,5
3,1,6,4,0,,0,.308,13,0,,0,23:32,6,5,-24,8,2,5,12
1,1,4,3,1,.333,3,.429,7,0,,0,20:07,1,1,-4,7,1,1,5
2,0,1,2,0,.000,1,.400,5,1,.500,2,16:17,1,0,-1,5,0,2,2
0,0,1,0,0,.000,2,.000,3,0,,0,8:39,0,1,-8,0,0,0,1
0,1,0,1,0,.000,1,.333,3,0,,0,7:50,0,0,-7,2,1,0,0
0,0,2,1,0,,0,.333,3,0,,0,3:20,1,1,-1,2,0,0,3
