ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
0,2,6,7,2,.400,5,.438,16,9,.818,11,37:20,0,4,0,25,0,0,6
8,2,3,6,1,.333,3,.300,20,5,.833,6,34:09,5,3,-9,18,2,1,8
2,0,7,7,2,.286,7,.280,25,2,1.000,2,33:44,1,2,-16,18,0,2,8
3,0,2,5,4,.571,7,.556,9,0,,0,30:22,0,4,-15,14,0,0,2
0,0,3,0,0,,0,.000,1,0,,0,12:09,1,1,-12,0,0,0,4
4,0,1,5,2,.400,5,.500,10,0,.000,1,25:04,0,4,+2,12,5,1,1
4,0,4,2,1,.333,3,.286,7,0,,0,18:20,0,2,+11,5,1,1,4
1,1,5,4,0,,0,.800,5,0,,0,16:58,3,4,-8,8,0,3,8
3,1,4,1,0,,0,.500,2,0,,0,16:24,1,2,+13,2,0,0,5
1,0,0,0,0,,0,.000,2,0,,0,9:22,0,1,+2,0,1,0,0
0,0,1,0,0,.000,2,.000,2,0,,0,6:07,0,0,+7,0,0,0,1
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
