ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
4,2,5,11,3,.429,7,.550,20,4,.800,5,38:56,3,4,+9,29,0,1,8
2,0,3,5,1,.167,6,.313,16,3,.750,4,35:19,1,3,-17,14,3,3,4
2,0,0,5,1,.333,3,.417,12,0,,0,23:35,0,4,-9,11,1,2,0
2,0,6,1,0,,0,.500,2,0,.000,1,17:58,2,4,0,2,0,1,8
3,0,1,3,1,1.000,1,1.000,3,0,,0,7:53,0,1,+4,7,0,0,1
7,0,1,5,2,.400,5,.357,14,0,,0,34:13,1,2,+8,12,2,3,2
1,0,0,5,4,.800,5,.556,9,0,,0,19:52,2,2,+17,14,0,2,2
0,1,4,1,0,.000,3,.125,8,0,,0,19:41,0,1,-9,2,1,0,4
1,0,4,1,0,,0,1.000,1,2,.667,3,19:29,1,2,+11,4,1,0,5
1,0,2,2,1,.500,2,.500,4,0,,0,10:38,1,1,+10,5,0,0,3
1,0,1,2,0,,0,1.000,2,2,1.000,2,8:19,1,2,-7,6,0,1,2
0,0,0,0,0,,0,,0,0,,0,4:07,0,0,-7,0,0,0,0
,,,,,,,,,,,,,,,,,,,
