ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
2,1,2,13,3,.333,9,.481,27,6,.857,7,36:19,1,2,+25,35,0,1,3
0,1,10,6,0,.000,4,.375,16,2,.500,4,30:26,2,4,+7,14,0,0,12
1,0,6,4,1,1.000,1,.571,7,0,,0,29:44,1,1,+16,9,0,2,7
3,0,1,4,0,.000,1,.333,12,2,1.000,2,24:55,1,0,+7,10,2,1,2
2,0,3,5,0,,0,.833,6,0,,0,14:29,7,4,+9,10,0,0,10
3,2,2,6,0,,0,.750,8,0,.000,1,27:25,5,4,+5,12,1,1,7
9,0,1,2,1,.250,4,.250,8,1,.500,2,24:01,0,0,+2,6,1,4,1
0,0,3,5,1,1.000,1,.833,6,0,,0,20:48,0,1,+5,11,0,0,3
1,0,3,2,1,.500,2,.667,3,0,,0,18:16,0,2,-5,5,2,0,3
1,1,2,1,0,.000,3,.200,5,0,,0,9:35,1,0,-13,2,0,1,3
0,1,2,0,0,,0,,0,0,,0,3:23,0,0,-1,0,0,0,2
0,0,0,0,0,,0,,0,0,,0,0:39,0,0,-2,0,0,0,0
,,,,,,,,,,,,,,,,,,,
