ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
3,0,7,7,1,.167,6,.368,19,7,1.000,7,37:34,1,4,-5,22,2,0,8
7,0,0,2,2,.400,5,.250,8,8,1.000,8,36:24,0,2,-14,14,3,3,0
1,0,0,4,2,.667,3,.364,11,0,,0,35:46,1,6,-22,10,0,0,1
3,0,3,10,2,1.000,2,.714,14,7,.875,8,35:30,1,4,-21,29,1,4,4
0,0,3,1,0,,0,.250,4,0,,0,11:26,2,2,-7,2,0,1,5
2,2,7,5,0,,0,.625,8,7,.875,8,28:13,2,4,+7,17,0,1,9
1,0,1,3,1,.333,3,.500,6,3,.750,4,20:18,0,3,-1,10,0,1,1
1,0,4,2,0,.000,3,.286,7,0,,0,11:36,1,0,+1,4,0,1,5
0,1,0,1,0,,0,.500,2,2,1.000,2,10:54,0,1,-3,4,0,0,0
0,1,0,0,0,.000,1,.000,1,0,,0,6:37,0,0,-6,0,0,0,0
0,0,1,0,0,,0,,0,2,1.000,2,1:54,1,0,+2,2,0,0,2
0,0,0,0,0,,0,,0,0,,0,1:54,0,1,+2,0,0,0,0
0,0,0,0,0,,0,,0,0,,0,1:54,0,0,+2,0,0,0,0
