ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
3,0,12,8,1,.200,5,.364,22,9,.900,10,40:10,1,3,-9,26,1,4,13
1,0,2,9,1,.500,2,.429,21,1,1.000,1,38:18,0,2,-7,20,3,4,2
3,2,9,8,0,.000,2,.400,20,5,1.000,5,37:49,3,4,-8,21,2,0,12
2,1,2,1,1,.500,2,.500,2,0,,0,22:15,0,2,-4,3,0,0,2
2,2,3,0,0,,0,.000,3,0,,0,15:59,3,3,-12,0,0,4,6
3,0,3,2,1,.333,3,.250,8,0,,0,28:09,0,1,+4,5,1,1,3
4,1,6,3,2,.286,7,.375,8,0,,0,27:59,1,2,-9,8,0,0,7
0,0,1,2,1,.500,2,.400,5,0,,0,17:32,0,0,-7,5,0,0,1
0,0,1,1,0,,0,1.000,1,0,,0,6:34,1,1,-6,2,0,1,2
0,0,1,1,0,,0,.333,3,0,,0,5:15,1,0,-2,2,0,0,2
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
