ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
10,0,6,8,4,.800,5,.400,20,6,.667,9,39:02,0,1,+22,26,1,2,6
3,1,1,3,2,.667,3,.600,5,3,.750,4,34:50,1,0,+8,11,1,1,2
8,0,2,4,0,.000,1,.286,14,4,1.000,4,31:46,0,1,-2,12,0,1,2
0,3,6,9,3,.750,4,.643,14,3,.750,4,29:53,0,6,-5,24,0,1,6
1,0,4,4,0,,0,.667,6,0,,0,20:10,5,6,-6,8,0,4,9
1,2,4,4,0,,0,.444,9,1,.500,2,25:54,4,3,+13,9,2,0,8
0,0,1,4,2,1.000,2,1.000,4,0,,0,20:17,1,3,0,10,1,2,2
1,0,1,3,1,.333,3,.600,5,0,,0,13:16,0,0,-3,7,0,1,1
4,0,2,1,0,.000,2,.333,3,4,1.000,4,12:00,0,1,+18,6,0,0,2
0,0,1,1,1,.500,2,.500,2,0,,0,8:12,0,0,-8,3,0,0,1
1,0,1,0,0,.000,1,.000,1,0,,0,4:40,0,0,-12,0,0,2,1
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
