ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
6,0,3,7,0,.000,1,.438,16,6,1.000,6,40:23,0,1,+8,20,0,4,3
2,1,4,9,1,.333,3,.529,17,7,.875,8,33:39,1,4,-1,26,0,4,5
1,0,3,3,1,.333,3,.429,7,7,1.000,7,25:20,1,2,-6,14,1,0,4
0,1,4,3,2,.333,6,.273,11,0,,0,24:36,0,6,-7,8,1,3,4
1,0,5,1,0,,0,1.000,1,0,.000,2,11:49,1,2,+2,2,0,0,6
0,2,2,4,3,.429,7,.444,9,2,1.000,2,31:52,1,1,+14,13,3,0,3
6,0,2,2,1,.500,2,.400,5,4,1.000,4,28:36,0,3,+6,9,1,2,2
2,2,8,5,0,,0,.625,8,4,1.000,4,24:23,2,1,+12,14,1,0,10
0,1,3,0,0,,0,.000,1,0,,0,11:09,0,0,-9,0,0,1,3
1,0,3,1,0,,0,1.000,1,1,.500,2,8:13,0,1,+11,3,1,0,3
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
