ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
11,0,3,5,4,.500,8,.333,15,4,.667,6,53:15,0,5,-5,18,1,1,3
2,1,7,6,3,.375,8,.375,16,2,1.000,2,52:17,2,5,+5,17,2,1,9
4,1,6,18,3,.333,9,.500,36,6,.857,7,46:09,0,6,-3,45,0,3,6
5,2,7,2,0,,0,.400,5,2,1.000,2,40:44,7,6,+2,6,3,1,14
1,3,2,6,0,.000,3,.429,14,3,1.000,3,30:09,3,6,-1,15,0,2,5
4,1,4,5,1,.143,7,.385,13,2,.667,3,36:14,0,1,+6,13,1,1,4
2,0,8,5,5,.385,13,.333,15,0,,0,36:03,1,2,-10,15,1,1,9
1,3,10,1,0,,0,.111,9,0,,0,25:47,2,6,-2,2,1,1,12
2,0,1,3,2,.667,3,.750,4,0,,0,16:11,0,0,+1,8,0,1,1
0,0,0,0,0,,0,.000,1,0,,0,3:12,0,2,-8,0,0,0,0
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
