ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
2,0,3,5,2,.333,6,.313,16,9,.818,11,37:40,2,2,-12,21,4,4,5
0,0,4,10,1,.333,3,.588,17,5,1.000,5,31:38,1,1,-12,26,0,1,5
4,0,8,5,0,,0,.417,12,5,1.000,5,31:30,6,4,-18,15,0,1,14
1,0,3,2,1,.200,5,.200,10,0,,0,27:19,2,0,-18,5,0,1,5
1,0,2,0,0,,0,.000,1,0,,0,15:20,2,2,-12,0,1,2,4
2,0,1,2,0,.000,1,.333,6,1,.333,3,27:51,1,3,-12,5,1,0,2
3,0,2,1,0,.000,4,.111,9,3,.750,4,19:41,0,1,-4,5,0,1,2
1,2,4,6,0,,0,.600,10,1,1.000,1,17:05,6,2,-1,13,0,1,10
1,0,1,0,0,.000,2,.000,5,1,.500,2,14:23,0,1,+6,1,0,0,1
0,0,1,3,1,.500,2,.600,5,0,,0,8:08,1,0,-1,7,0,0,2
3,0,0,0,0,.000,1,.000,2,3,.750,4,4:42,0,0,+2,3,2,0,0
0,0,0,0,0,,0,,0,0,,0,4:42,1,1,+2,0,0,1,1
,,,,,,,,,,,,,,,,,,,
