ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
6,0,4,9,2,.250,8,.360,25,0,,0,40:02,1,3,-11,20,0,5,5
5,0,5,10,3,.600,5,.667,15,2,1.000,2,36:24,1,1,0,25,1,1,6
4,0,2,6,0,,0,.429,14,1,1.000,1,31:58,0,1,-12,13,0,1,2
3,2,7,4,0,.000,1,.400,10,3,.750,4,27:22,4,3,-5,11,0,1,11
0,2,4,4,0,.000,4,.400,10,0,,0,15:35,1,0,-6,8,0,0,5
2,1,3,3,1,.500,2,.429,7,2,1.000,2,31:28,2,3,-9,9,1,0,5
0,0,4,2,0,,0,.333,6,0,.000,1,18:50,6,2,-11,4,1,1,10
3,1,1,2,1,.250,4,.222,9,2,1.000,2,14:08,1,5,-5,7,1,1,2
0,1,3,1,0,.000,1,.250,4,1,.333,3,11:36,0,0,-15,3,0,1,3
0,0,0,0,0,,0,,0,0,,0,7:01,0,1,-6,0,0,1,0
0,0,0,1,1,1.000,1,1.000,1,0,,0,1:54,0,0,+2,3,0,0,0
1,0,1,0,0,,0,,0,1,.500,2,1:54,0,0,+2,1,0,0,1
0,0,0,0,0,,0,,0,0,,0,1:48,0,0,+1,0,0,0,0
