ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
0,0,4,8,3,.600,5,.500,16,2,1.000,2,41:38,2,1,-4,21,2,1,6
5,0,3,5,0,,0,.385,13,10,.769,13,38:00,1,0,+6,20,2,3,4
3,0,5,6,2,.333,6,.462,13,2,1.000,2,37:18,1,3,+12,16,2,1,6
2,2,5,5,2,.400,5,.278,18,6,1.000,6,35:34,1,3,+5,18,2,2,6
1,0,8,6,0,.000,2,.500,12,6,1.000,6,31:03,0,5,+16,18,1,0,8
1,0,2,0,0,.000,1,.000,1,0,,0,18:13,0,2,-15,0,0,0,2
0,1,2,2,0,,0,.500,4,3,.750,4,16:55,2,4,-11,7,0,1,4
2,0,2,1,0,.000,1,.333,3,0,,0,13:39,1,1,-11,2,1,1,3
0,0,1,0,0,.000,1,.000,2,0,,0,4:30,0,1,-4,0,0,1,1
0,0,0,0,0,,0,.000,2,0,,0,3:10,1,0,-9,0,0,0,1
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
