ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
4,6,4,7,3,.429,7,.438,16,1,.333,3,36:25,2,4,-8,18,0,0,6
4,0,1,4,3,.500,6,.444,9,2,1.000,2,35:46,0,1,-21,13,0,2,1
5,0,6,5,2,.500,4,.556,9,1,.500,2,34:47,1,2,-17,13,1,2,7
3,0,7,7,0,,0,.583,12,0,,0,27:19,2,3,-17,14,1,4,9
2,0,1,5,0,.000,1,.417,12,1,.500,2,26:54,1,0,-11,11,1,4,2
3,0,3,4,4,.571,7,.400,10,0,,0,19:16,0,2,-7,12,0,1,3
3,0,6,1,0,,0,.333,3,0,,0,18:37,2,1,+1,2,1,0,8
0,0,4,0,0,.000,2,.000,2,0,,0,13:18,0,1,-4,0,0,0,4
1,1,1,1,1,.333,3,.250,4,0,,0,12:27,0,2,-4,3,0,2,1
0,0,1,2,0,,0,.500,4,2,1.000,2,7:21,0,2,-5,6,0,1,1
1,0,1,0,0,,0,.000,1,0,,0,4:10,0,0,-3,0,0,1,1
0,0,0,0,0,,0,,0,0,,0,1:50,0,0,-2,0,0,1,0
0,0,1,0,0,,0,,0,0,,0,1:50,0,0,-2,0,0,0,1
