ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
7,1,6,3,0,.000,1,.273,11,0,,0,40:27,1,1,0,6,2,3,7
5,0,2,10,0,,0,.455,22,4,1.000,4,36:14,3,0,+2,24,0,1,5
1,1,8,11,0,,0,.688,16,2,.667,3,36:00,5,5,-2,24,1,1,13
2,0,0,8,3,.600,5,.667,12,0,,0,35:39,1,2,+2,19,0,0,1
2,1,5,3,0,.000,1,.375,8,6,1.000,6,26:01,0,5,-4,12,1,5,5
2,0,4,1,0,,0,.500,2,1,.500,2,16:33,0,2,+8,3,1,1,4
0,0,1,1,0,.000,2,.200,5,0,,0,14:47,0,0,-16,2,0,1,1
2,0,3,1,0,,0,.500,2,0,,0,13:09,0,0,-6,2,0,1,3
2,2,4,3,0,,0,.500,6,0,,0,13:01,2,1,-12,6,1,2,6
0,0,0,0,0,,0,.000,1,0,,0,4:40,0,0,-8,0,0,1,0
1,0,0,0,0,.000,1,.000,2,0,,0,3:29,0,0,-4,0,0,0,0
,,,,,,,,,,,,,,,,,,,
