ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
0,0,4,6,1,.500,2,.500,12,4,.667,6,29:09,3,3,-10,17,2,1,7
6,0,4,6,1,.250,4,.462,13,2,1.000,2,27:37,1,0,-16,15,2,3,5
2,0,2,4,0,.000,4,.333,12,0,.000,1,27:18,0,3,-10,8,1,1,2
3,0,10,3,0,,0,.250,12,1,.500,2,26:00,4,0,-13,7,1,1,14
0,1,1,2,0,,0,.333,6,0,,0,19:19,2,0,-25,4,0,1,3
1,0,2,5,2,.286,7,.333,15,1,1.000,1,24:22,0,0,-11,13,2,1,2
0,1,2,1,0,,0,.200,5,0,,0,22:51,1,1,-23,2,0,1,3
1,1,2,4,2,.333,6,.444,9,0,,0,19:24,0,3,-16,10,0,0,2
4,0,0,1,1,1.000,1,.200,5,0,,0,15:58,0,1,-19,3,0,0,0
1,0,1,1,1,.500,2,.333,3,0,,0,12:00,0,1,+9,3,0,0,1
1,0,2,0,0,,0,.000,1,0,,0,8:01,2,0,+2,0,0,0,4
1,0,0,0,0,,0,.000,2,0,,0,8:01,1,1,+2,0,0,0,1
,,,,,,,,,,,,,,,,,,,
