ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
10,1,3,8,1,.333,3,.471,17,1,.333,3,38:09,0,0,+19,18,2,2,3
5,0,5,6,3,.500,6,.353,17,2,1.000,2,37:13,0,2,+11,17,1,2,5
0,2,2,8,1,.500,2,.667,12,4,1.000,4,32:13,2,3,+8,21,0,0,4
4,0,1,3,0,.000,4,.300,10,1,1.000,1,31:38,1,1,+11,7,3,2,2
4,1,9,11,0,,0,.688,16,2,.667,3,31:25,5,4,+21,24,1,1,14
2,1,4,0,0,,0,.000,1,2,1.000,2,20:36,4,4,-9,2,0,1,8
1,0,0,4,1,.167,6,.400,10,0,,0,12:30,0,0,-12,9,0,0,0
1,0,1,1,0,.000,1,.250,4,0,,0,12:11,0,0,-17,2,0,2,1
0,1,2,1,0,.000,2,.200,5,0,,0,11:45,0,1,-16,2,0,0,2
1,0,0,0,0,,0,,0,1,.500,2,8:27,0,0,+3,1,0,0,0
1,0,0,0,0,.000,1,.000,1,0,,0,3:52,0,0,-9,0,0,0,0
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
