ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
4,1,3,6,1,.250,4,.400,15,2,1.000,2,30:26,1,2,-7,15,1,1,4
1,0,1,6,1,.200,5,.500,12,0,,0,29:48,1,2,-27,13,1,3,2
3,1,7,3,1,.500,2,.500,6,0,,0,25:31,0,3,-9,7,1,2,7
5,0,6,5,0,,0,.625,8,1,.500,2,22:55,0,2,-6,11,1,0,6
6,1,0,2,0,,0,.667,3,0,,0,18:32,0,3,-4,4,1,3,0
2,0,0,2,2,.286,7,.200,10,0,,0,22:34,0,1,-21,6,0,0,0
2,1,3,4,1,.167,6,.308,13,0,,0,21:25,0,3,-27,9,0,2,3
1,2,5,1,0,,0,.200,5,0,,0,18:48,2,2,-23,2,0,1,7
1,0,2,2,1,.333,3,.333,6,0,,0,14:35,2,2,-24,5,0,0,4
1,0,1,1,1,.500,2,.500,2,2,1.000,2,9:43,0,0,-3,5,0,1,1
1,0,3,1,1,1.000,1,.333,3,0,,0,9:43,0,1,-3,3,0,0,3
1,0,1,0,0,,0,.000,2,0,,0,9:43,0,1,-3,0,1,1,1
0,0,1,0,0,,0,,0,0,,0,6:17,0,1,-3,0,0,0,1
