ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
9,1,7,10,3,.429,7,.526,19,0,.000,2,37:07,0,3,-8,23,2,0,7
0,4,6,13,2,1.000,2,.684,19,3,1.000,3,36:47,3,4,-6,31,0,2,9
5,0,2,7,3,.750,4,.700,10,4,1.000,4,36:33,0,2,-3,21,0,3,2
3,2,0,4,1,.333,3,.500,8,2,1.000,2,27:47,0,2,-1,11,0,0,0
3,0,3,2,0,,0,.200,10,0,,0,19:28,4,4,+11,4,0,0,7
1,0,7,2,0,,0,.500,4,1,.500,2,28:32,1,1,-9,5,1,2,8
1,0,1,5,1,.333,3,.556,9,1,1.000,1,21:34,0,3,-2,12,0,1,1
0,0,1,3,1,.333,3,.600,5,5,.833,6,14:33,0,1,+4,12,0,1,1
0,0,1,0,0,.000,2,.000,2,0,,0,9:54,0,0,+11,0,0,0,1
2,0,2,0,0,,0,,0,0,,0,7:45,0,0,+13,0,1,0,2
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
