ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
1,3,7,6,3,.750,4,.545,11,6,1.000,6,37:16,2,3,+12,21,2,3,9
2,0,5,6,2,.400,5,.462,13,4,1.000,4,36:50,0,1,+13,18,0,5,5
7,0,8,4,0,.000,3,.444,9,0,.000,2,35:21,0,2,+10,8,3,1,8
4,0,3,4,1,.250,4,.444,9,2,1.000,2,31:27,1,0,-8,11,1,3,4
2,1,8,4,0,.000,1,.333,12,0,,0,28:08,3,3,+4,8,0,3,11
1,1,7,6,0,,0,.750,8,1,.500,2,22:12,3,2,-8,13,0,2,10
0,0,4,1,0,.000,3,.200,5,3,.500,6,21:06,0,2,-7,5,1,2,4
3,0,2,0,0,.000,2,.000,6,2,1.000,2,12:43,1,2,-14,2,0,2,3
1,0,0,1,1,1.000,1,.500,2,0,,0,9:55,0,2,-16,3,1,0,0
0,0,0,0,0,.000,2,.000,2,0,,0,5:03,0,1,-6,0,0,3,0
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
