ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
1,1,6,3,0,,0,.273,11,3,.750,4,34:23,0,2,+13,9,1,1,6
2,1,6,7,2,.500,4,.636,11,2,1.000,2,33:38,1,2,+13,18,2,0,7
7,0,3,4,1,.500,2,.444,9,4,1.000,4,32:42,0,3,+10,13,2,6,3
5,0,3,2,1,.333,3,.333,6,2,1.000,2,24:40,1,0,+11,7,2,1,4
0,0,1,5,1,1.000,1,.556,9,0,,0,18:51,2,4,+11,11,0,0,3
0,1,7,6,0,.000,1,.375,16,0,,0,24:53,3,3,+6,12,2,2,10
2,0,2,3,0,.000,2,.300,10,0,,0,24:43,1,2,+10,6,0,0,3
4,1,2,5,0,,0,.556,9,0,,0,23:20,1,2,+1,10,3,1,3
3,0,1,3,1,1.000,1,1.000,3,0,,0,16:36,0,2,+3,7,0,1,1
0,0,0,1,0,,0,1.000,1,0,,0,1:36,0,1,-5,2,0,0,0
0,0,0,0,0,.000,1,.000,1,0,,0,1:36,0,0,-5,0,0,0,0
1,0,0,0,0,,0,,0,0,,0,1:36,0,0,-5,0,0,1,0
0,0,0,0,0,,0,,0,0,,0,1:27,0,0,-3,0,0,0,0
