ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
3,5,8,8,1,.250,4,.533,15,2,.667,3,29:49,3,3,+20,19,2,1,11
1,3,8,4,0,,0,.500,8,0,.000,3,28:01,1,1,+14,8,0,0,9
1,0,5,3,1,.167,6,.273,11,2,1.000,2,26:45,0,2,+11,9,2,0,5
0,1,5,3,1,.500,2,.300,10,2,1.000,2,23:36,2,1,+7,9,1,1,7
3,0,1,4,3,.750,4,.800,5,0,,0,18:11,1,3,+6,11,0,4,2
9,1,3,11,3,.500,6,.688,16,0,,0,29:46,0,2,+15,25,1,0,3
3,1,7,5,0,,0,.455,11,1,.500,2,25:35,0,3,+12,11,1,2,7
4,0,0,5,1,.500,2,.714,7,0,,0,22:49,0,1,+10,11,1,1,0
1,0,1,2,1,.500,2,.667,3,1,.500,2,20:27,0,2,+7,6,0,4,1
0,0,0,0,0,,0,.000,1,0,,0,7:55,0,0,-5,0,1,1,0
0,0,1,0,0,.000,1,.000,1,0,,0,2:43,0,1,0,0,0,0,1
0,0,1,0,0,,0,.000,1,0,,0,2:43,0,1,0,0,1,0,1
0,0,0,0,0,,0,,0,0,,0,1:41,0,0,-2,0,0,0,0
