ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
0,1,6,2,0,,0,.400,5,4,.667,6,36:16,1,2,+20,8,0,0,7
7,1,2,8,1,.333,3,.444,18,2,1.000,2,34:30,2,6,0,19,1,5,4
4,2,9,13,0,,0,.722,18,4,1.000,4,31:47,1,1,+12,30,1,1,10
4,0,0,3,1,.333,3,.300,10,1,.500,2,30:27,1,1,+11,8,2,1,1
1,1,9,4,3,.500,6,.400,10,2,1.000,2,28:32,1,4,+16,13,0,1,10
2,0,5,2,1,1.000,1,.500,4,0,,0,19:50,0,1,-9,5,0,1,5
1,0,1,3,2,1.000,2,.500,6,4,1.000,4,18:32,0,1,-8,12,1,4,1
2,0,1,4,1,.500,2,.571,7,6,1.000,6,17:09,0,0,+2,15,0,0,1
0,0,3,1,0,,0,.333,3,0,,0,15:51,2,2,-7,2,0,2,5
0,0,0,1,1,1.000,1,.500,2,0,,0,7:06,1,1,-7,3,0,0,1
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
