ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
9,1,6,10,1,.333,3,.588,17,7,.636,11,39:21,3,4,+7,28,2,1,9
2,0,4,8,3,.500,6,.571,14,2,.667,3,39:19,0,3,+11,21,1,0,4
6,0,3,3,3,.375,8,.375,8,3,.750,4,38:07,0,4,+6,12,1,2,3
3,0,6,7,1,.333,3,.467,15,0,,0,32:58,2,4,+10,15,3,4,8
2,0,5,5,2,.286,7,.500,10,1,1.000,1,32:34,0,3,+5,13,0,1,5
0,0,4,4,1,.333,3,.444,9,2,.500,4,17:37,1,0,-17,11,0,2,5
0,1,3,0,0,,0,.000,2,4,1.000,4,15:02,1,3,-17,4,0,2,4
1,0,2,0,0,.000,2,.000,4,0,,0,12:27,0,3,-12,0,1,0,2
0,0,0,0,0,.000,1,.000,2,0,,0,8:22,0,2,-14,0,2,1,0
0,0,0,1,1,1.000,1,1.000,1,0,,0,4:13,0,2,-14,3,0,1,0
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
