ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
0,1,7,13,2,.500,4,.650,20,0,,0,40:43,1,2,-5,28,0,2,8
3,1,2,7,1,.125,8,.438,16,6,1.000,6,36:49,1,4,-15,21,0,3,3
4,1,14,7,0,,0,.583,12,0,,0,30:01,5,4,-3,14,3,1,19
8,0,2,5,0,.000,1,.455,11,0,,0,26:45,0,2,-12,10,2,2,2
4,0,1,3,1,.333,3,.600,5,0,,0,19:20,1,1,-5,7,0,1,2
3,0,2,1,1,.333,3,.200,5,8,.667,12,23:42,1,0,-17,11,0,1,3
4,0,3,1,0,.000,2,.200,5,0,,0,23:02,0,3,-19,2,1,1,3
1,1,4,2,0,,0,.333,6,0,.000,2,17:59,1,2,-21,4,0,2,5
0,0,2,3,1,.500,2,.500,6,0,,0,14:34,0,3,-7,7,1,3,2
1,0,0,0,0,.000,2,.000,2,0,,0,7:05,0,2,-16,0,0,0,0
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
