ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
0,0,0,7,0,.000,2,.538,13,2,.500,4,36:12,1,3,-7,16,2,0,1
9,1,1,8,0,.000,2,.667,12,6,.750,8,31:24,0,3,-4,22,1,1,1
1,0,1,7,2,.400,5,.583,12,4,.800,5,30:26,0,2,-5,20,2,0,1
0,0,2,8,0,.000,2,.571,14,1,1.000,1,28:46,0,4,-8,17,4,1,2
4,0,12,5,0,.000,1,.455,11,2,1.000,2,28:39,3,2,-8,12,0,1,15
1,0,1,1,1,.200,5,.100,10,0,,0,22:52,1,2,-15,3,0,0,2
0,2,3,1,0,,0,.500,2,3,.750,4,17:14,2,2,-10,5,0,4,5
1,0,2,3,0,,0,.375,8,2,1.000,2,14:43,1,1,-14,8,0,2,3
1,0,2,1,0,.000,1,.333,3,2,1.000,2,13:03,0,0,-10,4,2,1,2
2,0,0,1,0,.000,1,.500,2,0,,0,11:02,0,2,-11,2,0,1,0
0,0,0,1,1,1.000,1,1.000,1,0,,0,1:53,0,2,-1,3,0,0,0
0,0,1,0,0,,0,,0,0,,0,1:53,0,0,-1,0,0,0,1
0,0,0,0,0,,0,,0,0,,0,1:53,0,0,-1,0,0,0,0
