ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
1,1,3,5,4,.444,9,.385,13,3,1.000,3,37:35,0,4,+6,17,2,4,3
1,2,11,11,3,.600,5,.458,24,7,.875,8,36:21,5,2,0,32,1,0,16
2,0,0,6,2,.286,7,.462,13,6,1.000,6,34:44,1,3,-10,20,2,1,1
15,0,8,5,0,,0,.385,13,2,1.000,2,34:10,1,3,+3,12,2,2,9
2,0,4,4,0,,0,.308,13,0,,0,27:22,3,3,-2,8,1,0,7
2,0,7,2,0,,0,.667,3,4,1.000,4,20:38,1,4,+1,8,0,0,8
0,1,1,4,3,.500,6,.444,9,2,1.000,2,17:52,0,0,+12,13,1,1,1
1,0,1,2,0,.000,1,.500,4,0,,0,17:28,0,1,-11,4,0,0,1
4,0,2,1,0,.000,2,.167,6,0,,0,13:50,0,1,-4,2,0,1,2
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
