ast,blk,date_game,drb,fg,fg3,fg3a,fga,ft,fta,game_location,game_result,game_start_time,game_streak,losses,opp_name,opp_pts,orb,overtimes,pf,plus_minus,pts,stl,tov,trb,wins
20.0,4.0,"Wed, Oct 26, 2016",30.0,34.0,6.0,18.0,89.0,22.0,28.0,,L,7:00p,L 1,1,Miami Heat,108,15.0,,15.0,-60.0,96,5.0,11.0,45.0,0
20.0,3.0,"Fri, Oct 28, 2016",30.0,33.0,8.0,26.0,95.0,8.0,12.0,@,L,7:30p,L 2,2,Detroit Pistons,108,14.0,,13.0,-130.0,82,8.0,9.0,44.0,0
21.0,5.0,"Sat, Oct 29, 2016",37.0,38.0,8.0,28.0,84.0,15.0,26.0,@,L,7:30p,L 3,3,Cleveland Cavaliers,105,13.0,,23.0,-30.0,99,6.0,20.0,50.0,0
29.0,6.0,"Tue, Nov 1, 2016",27.0,42.0,6.0,25.0,93.0,13.0,17.0,@,W,7:00p,W 1,3,Philadelphia 76ers,101,12.0,,15.0,10.0,103,7.0,10.0,39.0,1
24.0,4.0,"Thu, Nov 3, 2016",31.0,38.0,10.0,30.0,84.0,16.0,23.0,,W,7:00p,W 2,3,Sacramento Kings,94,13.0,,14.0,40.0,102,5.0,14.0,44.0,2
21.0,6.0,"Sat, Nov 5, 2016",33.0,31.0,9.0,28.0,78.0,17.0,27.0,,W,7:00p,W 3,3,Washington Wizards,86,10.0,,16.0,10.0,88,4.0,8.0,43.0,3
28.0,6.0,"Mon, Nov 7, 2016",33.0,33.0,9.0,30.0,85.0,5.0,6.0,@,L,8:00p,L 1,4,Chicago Bulls,112,6.0,,23.0,-160.0,80,6.0,14.0,39.0,3
20.0,5.0,"Wed, Nov 9, 2016",27.0,38.0,8.0,24.0,85.0,23.0,30.0,,L,7:00p,L 2,5,Minnesota Timberwolves,123,12.0,,19.0,-80.0,107,2.0,9.0,39.0,3
13.0,6.0,"Fri, Nov 11, 2016",35.0,26.0,8.0,20.0,78.0,14.0,19.0,,L,7:00p,L 3,6,Utah Jazz,87,8.0,,18.0,-65.0,74,11.0,12.0,43.0,3
24.0,7.0,"Sun, Nov 13, 2016",30.0,46.0,11.0,24.0,86.0,16.0,20.0,@,W,7:00p,W 1,6,Oklahoma City Thunder,117,8.0,,20.0,10.0,119,4.0,9.0,38.0,4
12.0,5.0,"Mon, Nov 14, 2016",43.0,27.0,5.0,25.0,84.0,10.0,13.0,@,L,7:00p,L 1,7,Indiana Pacers,88,9.0,,17.0,-95.0,69,3.0,14.0,52.0,4
