ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
2,0,3,7,6,.667,9,.636,11,0,,0,31:40,2,4,-25,20,2,3,5
7,0,2,4,2,.667,3,.571,7,1,1.000,1,27:52,1,2,-25,11,2,4,3
0,1,2,7,0,,0,.500,14,1,.500,2,24:38,3,1,-21,15,0,0,5
3,0,6,4,1,.333,3,.500,8,2,1.000,2,22:54,0,1,-10,11,0,1,6
2,0,1,0,0,.000,2,.000,7,0,,0,16:47,0,1,-6,0,0,1,1
2,0,0,4,3,.500,6,.444,9,0,,0,28:52,0,2,-8,11,0,0,0
4,1,3,3,1,.167,6,.231,13,1,.250,4,23:34,1,1,-16,8,0,2,4
1,0,5,4,1,.333,3,.400,10,2,1.000,2,23:22,4,3,-6,11,2,2,9
4,1,2,2,0,,0,.667,3,2,1.000,2,20:08,0,4,-2,6,2,1,2
1,0,1,1,0,.000,1,.333,3,0,,0,11:10,1,1,-8,2,0,0,2
1,1,1,0,0,.000,1,.000,1,0,,0,9:03,0,1,-8,0,1,0,1
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
