ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
1,0,8,8,5,.833,6,.500,16,2,1.000,2,37:08,5,5,+2,23,0,2,13
8,0,2,6,3,1.000,3,.500,12,2,1.000,2,35:54,0,3,-9,17,0,2,2
5,0,0,2,2,.400,5,.286,7,4,1.000,4,29:21,0,3,+13,10,1,1,0
5,3,3,5,1,.200,5,.385,13,12,.857,14,28:30,3,6,+6,23,2,5,6
1,1,4,6,3,.500,6,.500,12,4,.800,5,27:53,2,4,+4,19,1,0,6
5,0,7,4,0,.000,4,.364,11,5,.714,7,27:55,4,4,+2,13,0,1,11
0,0,3,2,1,.333,3,.333,6,0,,0,22:43,0,3,-4,5,1,0,3
0,1,1,4,0,,0,.571,7,1,.250,4,19:27,1,3,-3,9,0,0,2
0,0,1,1,1,1.000,1,.333,3,2,1.000,2,11:10,0,2,-1,5,0,0,1
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
