ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
1,1,10,5,1,.200,5,.417,12,4,1.000,4,37:18,1,2,+14,15,5,2,11
6,0,8,2,0,.000,2,.182,11,0,,0,36:03,0,1,+9,4,2,2,8
2,1,5,4,3,.750,4,.571,7,4,1.000,4,30:30,0,2,+22,15,0,1,5
2,1,5,5,1,.143,7,.313,16,3,.600,5,25:45,2,2,+3,14,0,0,7
4,2,4,8,0,.000,3,.571,14,4,.800,5,23:59,1,4,+10,20,0,3,5
0,0,5,5,3,.500,6,.385,13,5,.833,6,29:30,0,2,+5,18,1,4,5
0,0,2,3,0,,0,.375,8,2,1.000,2,24:01,2,1,0,8,3,0,4
1,0,1,3,0,,0,.429,7,1,1.000,1,20:57,0,2,-14,7,0,0,1
3,0,0,2,0,,0,.333,6,0,,0,11:57,0,1,+1,4,0,1,0
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
