ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
11,0,5,3,0,,0,.429,7,2,1.000,2,37:00,1,3,0,8,3,4,6
3,1,6,3,1,.250,4,.273,11,0,,0,35:11,0,1,-12,7,0,1,6
2,1,8,5,3,.500,6,.417,12,2,1.000,2,31:29,2,2,+3,15,1,2,10
4,1,1,8,3,.500,6,.533,15,2,.667,3,30:19,2,2,+2,21,0,1,3
1,3,4,5,0,,0,.625,8,2,1.000,2,29:43,0,3,0,12,1,3,4
2,0,1,2,1,1.000,1,.667,3,5,.833,6,20:41,0,4,-17,10,1,5,1
2,0,2,3,2,.333,6,.375,8,2,.667,3,19:23,0,1,-21,10,0,1,2
1,0,3,1,1,.200,5,.100,10,0,,0,15:06,0,0,-21,3,2,2,3
1,0,2,2,0,,0,1.000,2,0,,0,12:51,1,3,-11,4,0,1,3
0,0,0,0,0,,0,.000,1,0,,0,5:26,1,0,-6,0,0,1,1
0,0,0,1,1,1.000,1,1.000,1,0,,0,2:51,0,0,-2,3,0,1,0
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
