ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
2,3,4,3,1,.200,5,.333,9,4,1.000,4,35:10,1,3,+16,11,2,5,5
13,0,3,3,1,1.000,1,.600,5,0,,0,29:32,0,1,+7,7,3,3,3
0,1,10,5,0,,0,.556,9,6,1.000,6,27:54,3,4,-1,16,1,1,13
2,0,8,6,3,.600,5,.429,14,2,.500,4,26:44,1,0,+11,17,1,2,9
2,0,0,4,3,.600,5,.571,7,0,,0,25:50,0,5,-5,11,1,1,0
4,0,2,7,2,.500,4,.636,11,4,1.000,4,23:54,0,0,+4,20,0,3,2
0,0,1,7,1,.250,4,.500,14,2,1.000,2,21:24,2,2,-6,17,0,0,3
1,0,6,3,0,.000,1,.750,4,3,1.000,3,19:58,2,3,+6,9,1,4,8
7,0,0,1,1,1.000,1,1.000,1,1,.500,2,18:28,0,1,-2,4,0,2,0
1,0,0,1,0,,0,1.000,1,0,,0,11:06,0,2,-5,2,0,0,0
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
