ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
3,3,10,8,4,.571,7,.500,16,1,.333,3,37:15,2,3,+9,21,3,1,12
12,1,4,7,0,.000,1,.500,14,0,,0,36:37,0,3,+7,14,1,3,4
1,0,6,11,2,.286,7,.579,19,7,.778,9,34:57,5,2,+11,31,1,3,11
3,1,1,6,3,.500,6,.429,14,0,,0,33:19,0,1,0,15,0,1,1
2,3,5,6,0,,0,.545,11,0,,0,24:59,1,5,-3,12,2,0,6
1,0,2,2,0,,0,.250,8,0,,0,22:16,1,2,-6,4,1,0,3
1,0,2,2,0,.000,3,.333,6,2,1.000,2,16:27,1,2,-32,6,0,1,3
1,0,1,1,0,.000,1,.250,4,0,,0,14:10,0,2,-19,2,0,1,1
1,0,1,0,0,,0,.000,3,0,,0,8:37,1,1,-12,0,0,1,2
1,0,0,1,1,.500,2,.500,2,0,,0,6:16,0,1,-12,3,0,1,0
0,0,0,0,0,.000,1,.000,2,0,,0,5:07,0,0,-8,0,0,0,0
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
