ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
6,0,4,2,0,.000,4,.182,11,4,1.000,4,39:52,0,3,-18,8,2,2,4
4,0,2,5,0,,0,.833,6,1,1.000,1,28:16,0,3,-21,11,0,4,2
2,0,4,7,3,.429,7,.467,15,4,.800,5,26:32,1,1,-15,21,0,2,5
2,0,0,6,0,,0,.500,12,0,,0,24:31,0,2,-15,12,2,0,0
2,0,6,2,0,,0,.333,6,3,.750,4,19:46,1,2,-16,7,2,1,7
0,0,3,1,0,.000,3,.111,9,2,.500,4,26:47,1,4,-11,4,2,2,4
0,1,0,3,1,.250,4,.375,8,2,.667,3,25:38,1,2,-10,9,1,0,1
2,0,7,4,0,,0,.667,6,4,1.000,4,24:01,2,2,-3,12,1,2,9
1,0,0,1,0,.000,3,.250,4,6,1.000,6,12:23,0,1,+4,8,0,0,0
1,0,1,4,2,1.000,2,.571,7,0,,0,12:14,0,1,-10,10,0,2,1
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
