ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
3,0,4,7,0,,0,.700,10,2,1.000,2,30:53,3,5,-6,16,3,4,7
2,1,6,7,4,.667,6,.583,12,0,,0,29:09,3,2,-1,18,3,0,9
8,0,3,6,0,,0,.667,9,0,,0,28:08,0,1,-15,12,5,3,3
0,0,0,4,0,.000,2,.444,9,3,.750,4,25:02,0,2,-13,11,2,3,0
0,0,0,2,0,.000,3,.222,9,1,1.000,1,14:49,3,4,-4,5,1,2,3
0,1,10,9,1,.125,8,.500,18,1,1.000,1,33:11,1,3,-4,20,1,3,11
1,0,5,3,1,.167,6,.375,8,4,.667,6,27:52,1,1,+3,11,0,2,6
5,0,3,3,2,.667,3,.429,7,0,,0,19:52,0,1,+7,8,0,2,3
2,3,3,2,0,,0,.400,5,0,.000,2,17:07,1,1,-2,4,0,1,4
2,0,1,1,0,.000,3,.167,6,1,.500,2,13:57,0,3,-5,3,1,2,1
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
