ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
2,1,3,6,2,.400,5,.353,17,2,1.000,2,34:52,2,3,-10,16,0,4,5
1,0,4,3,1,.200,5,.375,8,2,1.000,2,33:10,1,2,-3,9,1,1,5
0,0,4,5,2,.400,5,.556,9,1,1.000,1,31:05,2,6,0,13,3,1,6
10,0,1,4,1,.250,4,.444,9,0,,0,30:00,0,3,-5,9,2,0,1
4,0,4,6,0,,0,.600,10,2,1.000,2,20:59,0,0,-5,14,3,4,4
3,0,3,3,2,.333,6,.300,10,1,.333,3,27:55,0,4,-14,9,1,1,3
0,0,9,10,2,.667,3,.714,14,2,.500,4,27:01,0,4,-7,24,0,1,9
8,0,2,2,0,.000,2,.400,5,0,,0,17:46,0,0,-7,4,0,3,2
0,0,4,1,0,,0,.500,2,0,,0,17:12,2,1,-9,2,1,1,6
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
