ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
2,0,3,4,2,.667,3,.500,8,2,1.000,2,29:44,1,5,+40,12,1,1,4
3,1,9,4,3,.500,6,.500,8,7,.875,8,26:05,0,2,+31,18,0,1,9
5,1,6,3,0,.000,2,.333,9,4,1.000,4,26:04,1,1,+30,10,1,0,7
6,0,2,3,0,,0,.600,5,0,,0,21:42,0,0,+34,6,1,1,2
2,0,5,8,0,.000,1,.727,11,1,.500,2,19:57,2,0,+35,17,2,2,7
2,0,5,3,3,.375,8,.300,10,0,,0,26:23,2,1,+18,9,2,1,7
6,0,3,5,2,1.000,2,1.000,5,1,.500,2,26:18,1,4,+8,13,0,0,4
3,0,7,7,2,.400,5,.636,11,3,1.000,3,25:57,1,4,+24,19,1,2,8
1,1,3,4,0,,0,.500,8,2,1.000,2,21:28,0,4,+1,10,0,6,3
2,3,2,1,0,.000,1,.500,2,0,,0,9:13,1,0,+2,2,0,1,3
0,0,1,0,0,.000,1,.000,3,0,,0,7:09,0,0,-13,0,0,1,1
,,,,,,,,,,,,,,,,,,,
