ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
3,0,2,1,1,.333,3,.167,6,0,,0,28:49,0,3,-8,3,1,2,2
2,3,1,4,1,.333,3,.286,14,3,1.000,3,25:49,1,1,-23,12,1,3,2
0,1,4,4,1,.333,3,.444,9,3,1.000,3,25:00,0,1,-15,12,0,1,4
4,0,0,1,0,,0,.333,3,0,,0,22:28,0,3,-17,2,4,0,0
2,0,2,3,0,,0,.500,6,0,,0,16:43,0,0,-16,6,0,0,2
1,0,0,7,5,.625,8,.583,12,1,1.000,1,29:54,0,1,-5,20,0,1,0
4,0,1,3,0,.000,1,.600,5,0,,0,25:32,0,0,-8,6,1,1,1
2,0,2,3,0,.000,2,.333,9,2,1.000,2,18:45,2,2,-7,8,0,1,4
0,0,2,5,0,,0,.625,8,1,.500,2,16:19,0,5,-4,11,0,0,2
1,0,1,2,0,.000,4,.250,8,0,,0,16:05,1,2,-17,4,1,0,2
0,0,4,4,0,.000,1,.571,7,5,.833,6,14:36,2,5,-5,13,0,0,6
,,,,,,,,,,,,,,,,,,,
