ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
0,0,4,7,1,.125,8,.467,15,4,.800,5,42:50,0,3,-13,19,1,1,4
2,0,7,7,2,1.000,2,.778,9,3,.600,5,35:44,1,2,-21,19,2,4,8
3,1,6,4,2,.500,4,.500,8,2,1.000,2,31:15,3,3,-2,12,0,2,9
7,0,3,4,0,,0,.444,9,2,1.000,2,28:07,0,3,-11,10,2,1,3
4,0,4,3,1,.143,7,.250,12,1,.500,2,25:30,0,4,-13,8,0,4,4
6,0,4,4,1,.200,5,.400,10,0,,0,27:36,0,3,-4,9,1,2,4
0,1,1,7,2,.667,3,.700,10,0,,0,21:41,3,1,+5,16,1,2,4
3,0,4,3,1,.333,3,.429,7,0,,0,19:23,0,1,-18,7,0,0,4
1,0,2,1,1,1.000,1,.500,2,2,.667,3,7:54,0,1,-8,5,0,1,2
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
