ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
1,0,12,11,2,.500,4,.458,24,6,1.000,6,42:09,0,2,-11,30,1,2,12
0,0,3,7,1,.200,5,.412,17,3,1.000,3,41:04,0,4,-4,18,1,2,3
4,0,5,1,0,.000,2,.167,6,0,,0,36:58,0,3,-5,2,0,1,5
4,1,6,8,0,,0,.500,16,14,.778,18,34:59,1,6,-4,30,0,4,7
2,0,5,0,0,.000,5,.000,7,0,,0,22:58,3,2,-12,0,1,3,8
0,2,2,1,0,.000,1,.200,5,0,,0,29:53,2,2,-12,2,0,1,4
0,1,7,3,0,.000,1,.750,4,0,,0,25:04,2,2,-11,6,0,1,9
1,0,1,1,1,.250,4,.143,7,0,,0,18:11,0,0,-1,3,1,0,1
0,0,3,2,1,1.000,1,.667,3,0,,0,13:44,1,2,0,5,0,1,4
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
